units,mse_no_bias,mse_bias
16,5.87770282519067,5.437790092711867
32,6.003683595917765,7.536541288780295
64,7.28522839631193,6.606706203450933
128,5.5943600838905345,4.912334349895532
256,23.061252552129506,5.615614896749282
