units,mse_no_bias,mse_bias
16,33.30667958562759,45.57372105612152
32,24.652115264273345,30.31989533511869
64,23.33162687871017,22.18418788784791
128,25.474416165944167,18.206342612909353
256,24.395653452763238,25.025188975534846
