units,mse_no_bias,mse_bias
16,69.42479227137228,50.92123803224104
32,296.60510387595696,42.19240824434938
64,21.479849338193407,57.59620615952321
128,26.67246574182654,53.184690168725446
256,176.23038170449036,46.22564619151331
